"","Keuwl","Accelerometer","Data","File","","42706.0","14-13-01"
"Number","Time(s)","X(g)","Y(g)","Z(g)","R(g)","Theta(deg)","Phi(deg)"
"1.0","9.857","-0.01952458","0.9693954","0.2020794","0.99042654","78.22712","91.15384"
"2.0","9.857","-0.023429496","0.97330034","0.22746135","0.99980056","76.84967","91.37897"
"3.0","9.857","-0.01854835","0.9440134","0.22258021","0.9700759","76.735535","91.125626"
"4.0","9.862","0.00097622897","0.92937","0.23331872","0.9582104","75.907135","89.93981"
"5.0","9.895","0.013667206","0.9225364","0.23429495","0.9519214","75.751465","89.15124"
"6.0","9.900001","0.006833603","0.93522733","0.22843759","0.9627464","76.27412","89.58135"
"7.0","9.929001","-0.005857374","0.9479183","0.20696054","0.970266","77.68402","90.354034"
"8.0","9.984","-0.01952458","0.95279956","0.1786499","0.96959996","79.38252","91.17393"
"9.0","9.984","-0.014643434","0.9596331","0.19817449","0.9799915","78.33315","90.87423"
"10.0","9.984","-0.004881145","0.9401085","0.21184167","0.96369326","77.30138","90.297485"
"11.0","10.009001","0.008786061","0.93327487","0.24796216","0.9656937","75.121445","89.46062"
"12.0","10.02","0.005857374","0.90691674","0.25772443","0.9428437","74.13641","89.62996"
"13.0","10.045","0.006833603","0.916679","0.25284332","0.9509347","74.5802","89.57288"
"14.0","10.078","0.017572122","0.9303462","0.24112856","0.96124697","75.4722","88.91794"
"15.0","10.080001","0.011714748","0.93522733","0.23722363","0.96491575","75.76798","89.28235"
"16.0","10.116","-0.0039049159","0.92937","0.23039004","0.9575089","76.07722","90.24074"
"17.0","10.120001","-0.020500809","0.91863143","0.24112856","0.9499721","75.295906","91.27844"
"18.0","10.145","-0.03904916","0.89715445","0.302631","0.94762677","71.37597","92.492256"
"19.0","10.178","-0.0039049159","0.91570276","0.26358184","0.95289147","73.94186","90.24433"
"20.0","10.181001","-0.0019524579","0.9225364","0.16986385","0.93804634","79.56718","90.12126"
"21.0","10.216001","0.005857374","0.94206095","0.20793676","0.9647543","77.55318","89.64376"
